betweenness,word,index
6592773.56206,set,0
3288985.75419,yellow,1
3159348.81346,common,2
3078441.22887,place,3
2623001.07503,manner,4
2252500.14583,b,5
2172347.93321,large,6
2072085.96827,turn,7
2032244.91426,fixed,8
2000656.26657,metal,9
1924561.02945,run,10
1758613.66676,position,11
1655999.27624,imp,12
1605900.72988,body,13
1571499.28119,species,14
1319605.13476,white,15
1295919.56812,iron,16
1179325.04755,live,17
1136613.93931,sword,18
1128426.62703,silver,19
1036668.42783,direct,20
1024683.70188,space,21
1023066.46055,word,22
1016516.99386,sodium,23
977738.477657,life,24
965977.560208,printing,25
919516.045066,false,26
908919.609085,force,27
899504.372193,ball,28
858345.905175,pear,29
832642.520504,specific,30
831867.259706,second,31
827538.545351,permanent,32
820432.762454,box,33
817762.17719,degree,34
793899.413486,music,35
784717.838113,marine,36
779593.741896,brown,37
766524.086121,effect,38
755419.969119,condition,39
739057.361726,address,40
737498.191194,flour,41
710190.772425,going,42
704533.042827,clay,43
663211.889199,personal,44
653969.852078,rope,45
646864.820676,fever,46
642281.558607,soil,47
628821.347909,fishing,48
626194.393224,safety,49
623968.94735,upper,50
614143.152654,methyl,51
612255.032298,single,52
611586.407037,good,53
598579.760486,horse,54
597191.360493,stage,55
594440.474308,continued,56
590182.328907,family,57
584389.511492,h,58
582619.707472,especially,59
577871.125164,cattle,60
575468.226919,micrometer,61
573029.951651,acid,62
567806.055606,agate,63
565449.506878,petty,64
560469.999286,carbon,65
554143.913513,coal,66
551087.588398,nonpareil,67
550427.414173,behavior,68
549029.536737,ruby,69
548393.644,thy,70
547550.29321,right,71
545032.134539,bred,72
543580.262745,inferior,73
539946.016465,malice,74
535271.237692,genus,75
527691.806755,swamp,76
527171.0725,plant,77
526018.433961,type,78
523278.999251,maple,79
516996.957413,fine,80
516060.991473,cold,81
512482.976873,metallic,82
511202.992523,substituted,83
508976.66229,wool,84
508953.374777,bird,85
506146.703052,age,86
503898.906799,distillation,87
501367.470919,platinum,88
500681.571054,particular,89
499695.635027,horned,90
489051.152648,egg,91
485534.378931,canal,92
481642.666594,suit,93
477362.860749,musical,94
469548.401681,match,95
467780.006192,tide,96
458122.91109,tissue,97
450888.734525,cable,98
450192.084417,distance,99
450039.514572,number,100
447599.552016,beat,101
446084.737317,cover,102
444104.562771,class,103
443252.844071,drawn,104
442754.050815,country,105
442442.413489,mud,106
440717.096308,color,107
436567.111799,cross,108
432823.544893,self,109
430148.556014,epithelium,110
426852.864311,matter,111
421444.492279,base,112
419243.541674,composed,113
418661.643766,sense,114
407573.672166,principal,115
407222.534352,change,116
405294.443797,thou,117
404558.030536,care,118
402390.524719,calcium,119
401699.209958,order,120
400987.981946,flower,121
398366.527328,lead,122
398097.25074,sum,123
384988.990204,tin,124
383954.123442,injury,125
383614.505348,business,126
381313.067137,sanctuary,127
380886.106032,measure,128
379907.330737,morning,129
379630.405012,glucoside,130
378320.391418,goat,131
376682.581816,king,132
376367.636367,pure,133
373566.942401,burning,134
372992.151285,alkali,135
370965.169036,train,136
370915.308423,proper,137
370788.886183,carmine,138
370354.909442,bend,139
370226.884865,basic,140
368504.007003,carbonic,141
367649.772009,alcohol,142
364390.314061,judge,143
364388.283464,keratin,144
360611.483552,ye,145
360430.831273,beam,146
357275.465396,declaration,147
357205.318959,root,148
357002.957577,organ,149
356705.255156,warm,150
356658.771224,deportment,151
356202.117476,walking,152
354129.39145,oak,153
353987.620187,charcoal,154
352155.792611,form,155
349751.55875,sea,156
348705.883058,pay,157
347620.319636,year,158
346584.003286,real,159
345845.451153,art,160
344991.536755,seven,161
344962.863143,sulphuric,162
342409.454239,race,163
340980.466894,spiritual,164
340757.09772,mother,165
340526.734797,line,166
340052.963283,wall,167
339845.091206,dance,168
339838.141344,fourth,169
339450.8377,swine,170
338484.515502,wind,171
338080.788521,covering,172
336259.359558,vessel,173
335732.151418,lock,174
335492.686514,foot,175
331736.476503,boric,176
331331.895109,chlorine,177
330565.000098,stem,178
330454.206213,stag,179
325932.127726,sign,180
325319.721729,principle,181
325248.410165,boron,182
325117.656256,hand,183
324894.858227,ship,184
322845.810783,water,185
321933.245266,legal,186
321320.949559,bone,187
320970.163466,vegetable,188
319688.861297,epithelial,189
318805.076695,hind,190
316263.568507,d,191
314494.228836,nut,192
312286.602779,estate,193
310662.93874,property,194
310613.469657,arms,195
309685.307741,draw,196
309556.308736,wheat,197
309465.265266,exact,198
309303.28827,broom,199
306328.340906,pitch,200
306241.935874,hunting,201
306016.998641,moon,202
305735.930245,covered,203
304749.58382,cause,204
303698.259087,figure,205
302807.6356,roof,206
301051.091892,evidence,207
300843.012064,jury,208
300199.408845,fault,209
298282.672167,material,210
297309.152461,key,211
296779.738825,mixed,212
296434.081018,sheet,213
296191.350823,engine,214
295323.216582,machine,215
295040.690454,hydrogen,216
292219.652339,c,217
292086.26119,weapon,218
290845.349111,decorate,219
289790.881605,counter,220
287504.469696,fowl,221
287236.276751,value,222
286865.95615,albumen,223
286725.674555,hammer,224
286708.770114,voice,225
283892.751218,fatty,226
282602.999942,aim,227
282309.425152,fleet,228
281436.741643,action,229
279208.427298,revolving,230
277772.11299,lip,231
277225.498483,marsh,232
276711.543911,sort,233
275504.379944,shoot,234
274252.347728,lawn,235
273736.990665,warp,236
272031.593202,course,237
271456.078293,wheel,238
270299.781595,mouth,239
270015.647019,sting,240
269707.658227,merchant,241
269551.493264,saint,242
268930.222334,field,243
268403.37529,avoid,244
268239.642411,outer,245
267753.09463,saleratus,246
266370.285906,composition,247
265881.91981,whistling,248
265452.248699,specifically,249
263111.774215,story,250
262603.117617,appearance,251
261805.2405,drawing,252
261187.360859,heaven,253
261015.556975,extend,254
260892.238174,combustible,255
259501.78112,intention,256
259234.263153,steel,257
258993.622195,leading,258
258979.932355,remove,259
258692.394146,fish,260
258002.618825,layer,261
256910.000427,thing,262
256762.467377,sexual,263
255714.467923,oath,264
254327.709203,falling,265
254220.03311,said,266
253603.920601,ethereal,267
253039.018651,prey,268
251535.924771,safe,269
250528.650008,officer,270
250331.791584,leaf,271
247844.738165,lady,272
247290.680569,work,273
246905.064694,injure,274
246831.667901,end,275
246746.489132,grow,276
246038.885053,direction,277
245470.186312,ecclesiastical,278
245464.067238,ready,279
245243.028076,narrow,280
244609.854499,oxide,281
243176.588031,ill,282
242292.002591,boiling,283
242173.905509,reduce,284
242026.874984,proposition,285
241670.288173,store,286
241266.575297,stay,287
240869.510766,deck,288
240303.476184,marked,289
240005.416628,oil,290
239923.539829,salt,291
239382.830331,terminal,292
238705.070029,religious,293
237593.393669,flowing,294
236022.343379,rate,295
235293.79414,waste,296
234978.287725,motion,297
234627.432254,barn,298
234115.806295,glue,299
233756.391475,passing,300
233358.168151,basalt,301
233284.825917,gold,302
232847.286988,lion,303
232826.502146,tone,304
232824.471182,shell,305
232749.979458,violet,306
231828.157956,skeleton,307
229631.999665,chromium,308
229560.241427,fur,309
229157.988529,somewhat,310
229151.859964,raise,311
227462.792385,commercial,312
227439.647593,contract,313
227372.168766,seed,314
227355.291198,angles,315
226264.737055,fat,316
225019.248937,level,317
224607.929151,kick,318
224524.185663,subject,319
224138.684426,whip,320
223129.879415,semimetallic,321
222706.07101,fruit,322
222303.061652,sound,323
221992.463285,young,324
221598.609295,standard,325
220807.044108,ride,326
220680.413274,locomotive,327
220297.610071,issue,328
220021.212878,solution,329
218444.836995,pronoun,330
218317.318266,wing,331
218037.042671,carrying,332
217745.599606,woolly,333
217576.962468,mercantile,334
217347.420069,supply,335
216920.17536,forced,336
215089.236988,semimetal,337
214295.302624,bearing,338
214058.034204,adjustment,339
213098.67058,general,340
212643.267044,pope,341
212574.009382,profit,342
212524.075578,ordinary,343
212352.199241,lime,344
211262.545438,range,345
208991.775833,gain,346
208809.720798,enemy,347
208168.073101,moving,348
208071.308452,singing,349
207730.636642,binary,350
207498.689006,cease,351
207492.846928,native,352
206639.695935,heart,353
206390.450812,paper,354
206369.380108,round,355
206198.756042,storm,356
204737.431043,sinapism,357
203933.820908,chief,358
203758.144971,watch,359
203420.771295,increase,360
202321.327945,pulpy,361
202108.581449,bitter,362
201944.099672,sulphur,363
201361.905132,fluid,364
200880.061681,style,365
200050.570496,discharge,366
200049.78058,colored,367
199727.418131,devil,368
199360.208818,chub,369
199351.543643,limonite,370
199005.007794,oar,371
198141.266254,performance,372
197779.035422,reason,373
197717.575556,barrel,374
197605.817813,drum,375
196531.301658,perfect,376
195722.462573,duty,377
195071.088343,berry,378
194268.371161,serving,379
194197.552547,mode,380
194071.364897,temporary,381
193945.650593,bush,382
193924.386767,vascular,383
193649.782308,giant,384
192766.619399,wages,385
192450.196552,shooting,386
190754.393812,function,387
190589.07322,represent,388
190379.427435,preparation,389
189871.772503,oviform,390
189481.783904,throwing,391
189238.756086,laugh,392
189075.325694,typhoid,393
188671.172698,escutcheon,394
188463.440632,malt,395
187874.117848,willow,396
186714.16385,buoy,397
186602.409722,valve,398
186180.506792,trial,399
185855.474443,bound,400
185469.883034,use,401
185432.881834,tree,402
185369.011309,hypocrisy,403
185366.19338,alkaline,404
184102.983694,perform,405
183961.793979,rattlesnake,406
183146.277782,reducing,407
182656.620361,fleshy,408
182559.282208,sentence,409
182465.339158,quick,410
182389.637202,appendant,411
182251.283403,remedy,412
182028.817338,fidelity,413
182018.502818,mast,414
181960.230599,pleasant,415
181520.502347,example,416
181256.052842,rounded,417
181086.417811,process,418
180750.897239,brittle,419
180745.594913,noble,420
180386.748851,zinc,421
180116.88909,column,422
179938.98429,buffoon,423
179614.658411,pattern,424
179606.527181,swift,425
179330.307591,n,426
179209.270189,forest,427
178714.880448,adorn,428
177815.487839,spinning,429
177204.827078,sugar,430
177171.054527,graduated,431
176807.41458,breast,432
176435.37799,medicine,433
176365.674651,arsenic,434
175558.919003,revolution,435
175444.013678,decay,436
175261.749177,trot,437
175182.159826,minor,438
175107.894645,laughing,439
174531.879135,opposition,440
174402.885364,come,441
174156.239929,lake,442
174047.452786,shrub,443
173634.943114,lyrie,444
173004.490611,potential,445
172800.68241,larva,446
172727.280335,singular,447
172417.83892,depth,448
172409.017534,spindle,449
172113.281175,temper,450
171982.31276,gnomon,451
171754.086335,government,452
171497.508263,milling,453
171433.482281,emery,454
171372.499195,partial,455
170742.798057,great,456
170639.768572,flock,457
170474.000905,useless,458
170449.579521,beak,459
170261.902603,appoint,460
170074.718036,uranium,461
169929.520684,membrane,462
167344.873643,scaup,463
167063.80996,high,464
166498.261884,chicane,465
165979.796963,ground,466
165919.277746,runner,467
165798.099446,best,468
164837.248343,weight,469
164722.104228,provoke,470
164177.65351,strawberry,471
163990.800691,viceroy,472
163705.997005,convey,473
163637.859267,vast,474
163477.251612,face,475
163307.415762,resin,476
163278.832036,prefix,477
163254.00761,soap,478
163173.264617,objective,479
163054.144692,albumin,480
162500.051765,guard,481
162377.940979,yellowish,482
162367.752454,opinion,483
162168.123822,irreverent,484
161275.815,assign,485
161161.106688,characteristic,486
160596.625012,pyroxene,487
160533.420595,reward,488
160333.465638,slander,489
160083.100177,led,490
160082.711647,plain,491
159540.276415,house,492
159084.214286,competition,493
158705.687019,yolk,494
158455.85541,valid,495
157988.544852,blind,496
157903.030154,residual,497
157847.776734,scold,498
157509.784252,lessen,499
157501.639846,square,500
156932.2136,bed,501
156611.756923,especial,502
156473.594165,aventure,503
156444.620307,laid,504
156221.030052,solder,505
155927.002062,circumstantial,506
155829.165384,tyrosin,507
155807.397423,tropical,508
155731.200783,currant,509
155654.844216,impression,510
155386.00226,usual,511
155174.551273,worth,512
155039.262896,light,513
154966.96483,card,514
154916.828036,platina,515
154693.66634,human,516
154556.676502,conveyance,517
154429.654159,crab,518
154319.883287,table,519
154233.186468,chloride,520
154120.203174,want,521
153891.844041,ammonia,522
153735.178852,purpose,523
153632.183143,brim,524
153619.528264,cheat,525
153323.348109,short,526
153230.697058,rice,527
152548.237944,milk,528
152476.155131,giantship,529
152178.95566,queen,530
151700.663658,incite,531
151619.433312,intended,532
151530.902118,losing,533
151046.564828,natural,534
150739.78914,alimentary,535
150486.234333,open,536
150311.63816,study,537
150293.363362,fin,538
150290.06014,united,539
150128.317524,spirit,540
149737.577408,horn,541
149705.543871,stomach,542
149635.548425,mischievous,543
149542.771351,sharp,544
149522.294103,point,545
149520.089772,imaginary,546
149146.000106,caoutchouc,547
148519.699425,hypothesis,548
148288.696198,heat,549
148258.257374,pressure,550
148021.194014,abstract,551
147907.012536,method,552
147660.649942,aid,553
